date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:52.713,99,"[1631.7530943528743, 1326.3393554185257]","[114.31997903126391, 30.50855455002358]",90.35,161503499#2,161503499#2_0,981.13,0.74,()
2023-03-02 17:00:52.703,99,"[1631.4310312702976, 1301.2444260333332]","[114.31998188667467, 30.508328275263644]",87.5,161503499#2,161503499#2_0,956.03,0.74,()
2023-03-02 17:00:52.694,99,"[1631.1191120986896, 1276.9399030722848]","[114.31998465209725, 30.5081091273951]",86.93,161503499#2,161503499#2_0,931.73,0.74,()
2023-03-02 17:00:52.684,99,"[1630.809225661807, 1252.7937693745484]","[114.31998739944702, 30.50789140767607]",85.21,161503499#2,161503499#2_0,907.58,0.74,()
2023-03-02 17:00:52.675,99,"[1630.5054809535127, 1229.126194858452]","[114.31999009229702, 30.507678002999818]",78.59,161503499#2,161503499#2_0,883.91,0.74,()
2023-03-02 17:00:52.666,99,"[1630.2253292648436, 1207.2969718750242]","[114.31999257593974, 30.507481174279295]",73.23,161503499#2,161503499#2_0,862.08,0.74,()
2023-03-02 17:00:52.657,99,"[1629.9642938346394, 1186.9572743362678]","[114.3199948900728, 30.507297776237046]",65.32,161503499#2,161503499#2_0,841.74,0.74,()
2023-03-02 17:00:52.648,99,"[1629.731439062367, 1168.8133938876574]","[114.31999695434811, 30.507134177332222]",58.28,161503499#2,161503499#2_0,823.6,0.74,()
2023-03-02 17:00:52.639,99,"[1629.523682677898, 1152.6251622037992]","[114.31999879610011, 30.50698821202758]",52.47,161503499#2,161503499#2_0,807.41,0.74,()
2023-03-02 17:00:52.630,99,"[1629.3366558057228, 1138.052159570824]","[114.32000045406629, 30.50685681084332]",43.46,161503499#2,161503499#2_0,792.83,0.74,()
2023-03-02 17:00:52.621,99,"[1629.1735628239546, 1125.9839176918067]","[114.32000174156704, 30.506747992710487]",34.31,:2401239653_10,:2401239653_10_0,780.76,0.82,()
2023-03-02 17:00:52.612,99,"[1629.0365720111492, 1116.456427614121]","[114.32000267227964, 30.50666208251817]",25.8,:2401239653_10,:2401239653_10_0,771.23,0.82,()
2023-03-02 17:00:52.603,99,"[1628.9327004562422, 1109.292827194854]","[114.32000336301013, 30.50659748753388]",17.16,161503499#1,161503499#1_0,764.06,0.94,()
2023-03-02 17:00:52.594,99,"[1628.8548800273963, 1104.5255183575553]","[114.32000373216687, 30.506554498315445]",33.21,161503499#1,161503499#1_0,759.29,0.94,()
2023-03-02 17:00:52.585,99,"[1628.704312359784, 1095.3016862216334]","[114.32000444640941, 30.5064713223871]",49.41,161503499#1,161503499#1_0,750.07,0.94,()
2023-03-02 17:00:52.575,99,"[1628.4802967986018, 1081.5784084094366]","[114.32000550905151, 30.50634757269472]",65.61,161503499#1,161503499#1_0,736.34,0.94,()
2023-03-02 17:00:52.566,99,"[1628.1828333438498, 1063.355684920965]","[114.32000692007824, 30.506183249236067]",81.81,161503499#1,161503499#1_0,718.12,0.94,()
2023-03-02 17:00:52.557,99,"[1627.8119219955279, 1040.6335157562182]","[114.32000867946985, 30.50597835200822]",88.14,161503499#1,161503499#1_0,695.4,0.94,()
2023-03-02 17:00:52.549,99,"[1627.4123176734379, 1016.1536041909119]","[114.3200105749181, 30.505757604326103]",89.15,161503499#1,161503499#1_0,670.91,0.94,()
2023-03-02 17:00:52.540,99,"[1627.0081390817065, 991.3934711412259]","[114.32001249201457, 30.50553432973852]",88.65,161503499#1,161503499#1_0,646.15,0.94,()
2023-03-02 17:00:52.532,99,"[1626.606204268057, 966.770792783529]","[114.32001439841952, 30.50531229464181]",86.33,161503499#1,161503499#1_0,621.52,0.94,()
2023-03-02 17:00:52.523,99,"[1626.2167690616805, 942.7928187935503]","[114.32001627542766, 30.50509607358536]",88.42,:7154206603_7,:7154206603_7_0,597.54,0.91,()
2023-03-02 17:00:52.515,99,"[1625.8210951583494, 918.233392489731]","[114.3200182312672, 30.50487460996977]",87.76,161503499#0,161503499#0_0,572.98,0.93,()
2023-03-02 17:00:52.506,99,"[1625.4248563088086, 893.8581357482278]","[114.32002013562285, 30.504654806331967]",89.93,161503499#0,161503499#0_0,548.6,0.93,()
2023-03-02 17:00:52.498,99,"[1625.018820256434, 868.8801886478744]","[114.32002208701503, 30.504429567932362]",87.8,161503499#0,161503499#0_0,523.62,0.93,()
2023-03-02 17:00:52.489,99,"[1624.6223939724423, 844.4934015809902]","[114.32002399217464, 30.504209660305488]",86.4,161503499#0,161503499#0_0,499.23,0.93,()
2023-03-02 17:00:52.481,99,"[1624.2323044307257, 820.4964291928958]","[114.32002586683414, 30.503993267821897]",90.23,161503499#0,161503499#0_0,475.23,0.93,()
2023-03-02 17:00:52.472,99,"[1623.8249478988307, 795.4372507156385]","[114.32002782442443, 30.503767296897035]",90.12,161503499#0,161503499#0_0,450.17,0.93,()
2023-03-02 17:00:52.463,99,"[1623.4180839105888, 770.4083718367491]","[114.32002977959732, 30.50354159919098]",86.65,161503499#0,161503499#0_0,425.14,0.93,()
2023-03-02 17:00:52.454,99,"[1623.0268787469345, 746.3427702085169]","[114.32003165947461, 30.503324587822394]",87.31,161503499#0,161503499#0_0,401.07,0.93,()
2023-03-02 17:00:52.445,99,"[1622.6326638080918, 722.0920175204265]","[114.32003355376776, 30.503105906848564]",88.61,161503499#0,161503499#0_0,376.81,0.93,()
2023-03-02 17:00:52.434,99,"[1622.2785633070735, 697.4784294241633]","[114.32003595533752, 30.5028839638564]",87.66,:1148784425_9,:1148784425_9_0,352.2,0.66,()
2023-03-02 17:00:52.425,99,"[1622.0348598744215, 673.1293032908582]","[114.3200394406586, 30.502664428363133]",87.56,998139966#1,998139966#1_0,327.85,0.55,()
2023-03-02 17:00:52.415,99,"[1621.8006517939657, 648.8103394871923]","[114.32004301730943, 30.5024451667794]",86.44,998139966#1,998139966#1_0,303.53,0.55,()
2023-03-02 17:00:52.406,99,"[1621.5694162967857, 624.8000334589038]","[114.32004654851113, 30.5022286880696]",88.41,998139966#1,998139966#1_0,279.51,0.55,()
2023-03-02 17:00:52.396,99,"[1621.3329126028375, 600.2427049441851]","[114.32005016010795, 30.50200727735659]",87.67,998139966#1,998139966#1_0,254.95,0.55,()
2023-03-02 17:00:52.387,99,"[1621.0984098065705, 575.8931393648255]","[114.32005374109403, 30.501787739842094]",89.87,998139966#1,998139966#1_0,230.6,0.55,()
2023-03-02 17:00:52.378,99,"[1620.8580179170547, 550.9320805983986]","[114.3200574119524, 30.501562689051095]",87.77,998139966#1,998139966#1_0,205.64,0.55,()
2023-03-02 17:00:52.369,99,"[1620.6232366893348, 526.5536041274524]","[114.3200609970782, 30.501342890858318]",89.95,998139966#1,998139966#1_0,181.26,0.55,()
2023-03-02 17:00:52.360,99,"[1620.3826342754892, 501.57068559622127]","[114.32006467103643, 30.501117642962132]",85.87,998139966#1,998139966#1_0,156.27,0.55,()
2023-03-02 17:00:52.350,99,"[1620.1529302235783, 477.7193969766947]","[114.32006817852425, 30.500902597919904]",79.43,998139966#1,998139966#1_0,132.42,0.55,()
2023-03-02 17:00:52.341,99,"[1619.9133357595747, 455.65530341339763]","[114.32007114102231, 30.50070366055451]",70.92,:3523329189_7,:3523329189_7_0,110.36,0.77,()
2023-03-02 17:00:52.332,99,"[1619.6354413182992, 435.9567876747209]","[114.32007311977624, 30.50052603833453]",63.15,998139966#0,998139966#0_0,90.66,0.82,()
2023-03-02 17:00:52.323,99,"[1619.383531589758, 418.41800417732077]","[114.32007483488258, 30.50036788953318]",56.27,998139966#0,998139966#0_0,73.11,0.82,()
2023-03-02 17:00:52.314,99,"[1619.159040601853, 402.78820354680965]","[114.32007636328889, 30.50022695420028]",49.41,998139966#0,998139966#0_0,57.48,0.82,()
2023-03-02 17:00:52.304,99,"[1618.9619460340386, 389.06583175343474]","[114.3200777051547, 30.50010321832411]",42.86,998139966#0,998139966#0_0,43.76,0.82,()
2023-03-02 17:00:52.295,99,"[1618.7909795037176, 377.16257983075093]","[114.3200788691219, 30.499995885615608]",37.34,998139966#0,998139966#0_0,31.86,0.82,()
2023-03-02 17:00:52.286,99,"[1618.6420033453462, 366.7903699003015]","[114.32007988336544, 30.49990235845101]",31.31,998139966#0,998139966#0_0,21.48,0.82,()
2023-03-02 17:00:52.276,99,"[1618.5170872227945, 358.09329876511174]","[114.32008073379906, 30.49982393616496]",22.86,998139966#0,998139966#0_0,12.78,0.82,()
2023-03-02 17:00:52.267,99,"[1618.430485671215, 351.7429683120473]","[114.32008140272531, 30.499766675640576]",16.21,998139966#0,998139966#0_0,6.43,359.9,()
