dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.309,4,"[2735.965728046523, 1375.6692732166891]","[114.33146226730518, 30.509235237628324]",43.48,-725894815#0,-725894815#0_0,51.5,27.68,"(('838310065', 0, 2743.138319205408, 'G'),)"
2023-03-02 06:44:34.310,5,"[1866.051997268196, 1786.8655843157046]","[114.32230434650808, 30.51275590713134]",32.54,-265762563#2,-265762563#2_0,21.34,270.97,()
2023-03-02 06:44:34.311,6,"[1637.936983700687, 1701.1476264211879]","[114.31995067847946, 30.51193439667849]",8.9,-161503499#6,-161503499#6_0,2.47,183.13,()
2023-03-02 06:44:34.313,0,"[934.1649463689325, 540.6778472339817]","[114.31291172718589, 30.501323002619397]",32.44,231808124,231808124_0,236.58,302.81,()
2023-03-02 06:44:34.313,1,"[2307.514334458773, 912.9408482176827]","[114.32711601030833, 30.50497271495024]",36.63,236668173#3,236668173#3_1,157.6,289.1,()
2023-03-02 06:44:34.314,2,"[1340.7315808853114, 1127.6321406709453]","[114.31699859067028, 30.506701032901965]",41.38,-267612556#7,-267612556#7_1,99.3,91.56,()
2023-03-02 06:44:34.315,3,"[2519.543030867544, 2331.139273741765]","[114.32897356377697, 30.517801723748555]",33.88,282304746,282304746_0,69.62,292.61,()
2023-03-02 06:44:34.316,4,"[2743.0606740998455, 1386.8007084582127]","[114.331533387873, 30.509337090641857]",47.55,-725894815#0,-725894815#0_0,64.71,33.27,"(('838310065', 0, 2729.9307519654117, 'G'),)"
2023-03-02 06:44:34.317,5,"[1854.6509158516453, 1787.057737373287]","[114.32218560360852, 30.512755198777327]",41.05,-265762563#2,-265762563#2_0,32.75,270.97,()
2023-03-02 06:44:34.318,6,"[1637.672400403436, 1696.3030773323176]","[114.31994912263058, 30.511890671240472]",17.47,-161503499#6,-161503499#6_0,7.33,183.13,()
2023-03-02 06:44:34.321,0,"[930.4261778895609, 544.2479555733413]","[114.31287192283673, 30.501354380620864]",19.04,231808124,231808124_0,241.87,314.32,()
2023-03-02 06:44:34.322,1,"[2296.5465604790843, 916.739494049734]","[114.32700089751879, 30.50500461325163]",41.79,236668173#3,236668173#3_1,169.21,289.1,()
2023-03-02 06:44:34.323,2,"[1354.0485106951942, 1127.2704213331654]","[114.31713731214806, 30.506700627882747]",47.96,-267612556#7,-267612556#7_1,112.62,91.56,()
2023-03-02 06:44:34.324,3,"[2509.202855991971, 2336.8033735979775]","[114.32886451009652, 30.51785057211012]",42.54,282304746,282304746_0,81.43,301.16,()
